Wavelenght,C 1.1,DH1R,DH2.1T,DH3.1,H1Bl Hair,H1c- hair,H2.1T Hair,N1TT_good,N2.2ML_28,N3.1TT,N3.1TT_Good,R1_22,R1Sc_24,R2_good,R3.1TStraw,R4.1_23,R5_17,R6_18,R7_20,SP2.1E,SP13.1C,SP13.2B,SP-bev,SS 1.1,UN1
1343.177456,94.74143,95.127207,85.166953,98.05144,93.055836,91.620924,94.664138,68.335051,93.204214,99.636024,87.21233,96.002338,92.947023,95.093888,93.576697,85.883033,91.894121,6.72692,56.077277,93.692322,94.998641,90.909121,96.737948,88.429741,94.113051
1343.418515,94.724411,95.084864,85.128706,98.03469,93.048515,91.719134,94.647289,69.021404,93.184022,99.632183,87.323541,95.97361,92.91702,95.081608,93.530138,86.025398,91.871689,6.723885,56.033216,93.682742,94.979052,90.902864,96.696661,88.393275,94.102518
1343.659573,94.707789,95.041292,85.089538,98.017481,93.041494,91.816778,94.63049,69.719101,93.164355,99.628838,87.42881,95.944553,92.886621,95.069717,93.482533,86.173101,91.849279,6.720975,55.988031,93.673203,94.959271,90.896562,96.653514,88.35663,94.092369
1343.900631,94.691581,94.99643,85.049419,97.999811,93.034776,91.913573,94.613765,70.424878,93.145234,99.62603,87.528092,95.915173,92.855803,95.058231,93.433865,86.325435,91.82687,6.718204,55.941723,93.663727,94.939284,90.89022,96.608441,88.319796,94.082629
1344.14169,94.675795,94.950203,85.008312,97.981668,93.028358,92.009255,94.597129,71.135559,93.126667,99.623776,87.621357,95.885469,92.824525,95.047156,93.384099,86.481686,91.804429,6.715584,55.894294,93.654333,94.919082,90.883839,96.56137,88.28275,94.073315
1344.382748,94.660426,94.902524,84.966174,97.963034,93.022226,92.103574,94.580592,71.848077,93.108646,99.622079,87.708583,95.855428,92.792736,95.036484,93.333181,86.64114,91.78192,6.713121,55.845741,93.645043,94.898657,90.877424,96.512226,88.245454,94.064442
1344.623807,94.645461,94.853295,84.922955,97.943887,93.016359,92.196304,94.564157,72.559496,93.091155,99.620925,87.789762,95.825029,92.76037,95.026199,93.28104,86.80308,91.759297,6.710819,55.796059,93.635879,94.878008,90.870977,96.46093,88.207863,94.056019
1344.864865,94.63088,94.802406,84.878599,97.924196,93.010732,92.287236,94.547823,73.267025,93.074164,99.620283,87.864898,95.794241,92.727352,95.016276,93.227592,86.966801,91.736511,6.708679,55.745246,93.626863,94.857138,90.8645,96.407399,88.169917,94.048054
1345.105923,94.616655,94.749739,84.833047,97.903927,93.005311,92.376181,94.531586,73.968042,93.05764,99.620112,87.934006,95.763028,92.693599,95.006682,93.172736,87.131607,91.713508,6.706698,55.6933,93.618015,94.836056,90.857998,96.351545,88.131552,94.040549
1345.346982,94.602755,94.695168,84.786234,97.883041,93.000063,92.462974,94.515439,74.660103,93.041541,99.620361,87.997122,95.731343,92.659019,94.997378,93.116362,87.296821,91.690234,6.70487,55.640223,93.609358,94.814777,90.851475,96.293277,88.092695,94.033504
1345.58804,94.589143,94.63856,84.738093,97.861494,92.99495,92.547469,94.499375,75.34096,93.025823,99.620969,88.054294,95.699134,92.623515,94.988321,93.058346,87.461789,91.66663,6.703187,55.586019,93.600913,94.793325,90.844938,96.232494,88.053266,94.026916
1345.829099,94.575784,94.579774,84.688555,97.839238,92.989936,92.629541,94.483385,76.00857,93.010439,99.621872,88.105595,95.666343,92.586983,94.979467,92.998559,87.625885,91.64264,6.701639,55.530698,93.5927,94.771727,90.838393,96.169092,88.013181,94.020778
1346.070157,94.56264,94.518664,84.637549,97.816224,92.984983,92.70909,94.467462,76.661101,92.995342,99.623003,88.151115,95.632905,92.549316,94.970771,92.936861,87.788513,91.618205,6.700213,55.474273,93.584737,94.750021,90.831851,96.102959,87.972354,94.015082
1346.311215,94.549678,94.455078,84.585,97.792398,92.980058,92.786034,94.451601,77.296941,92.98049,99.624296,88.190972,95.59875,92.510405,94.962188,92.873109,87.949115,91.593269,6.698894,55.416765,93.577041,94.728246,90.825322,96.033972,87.930694,94.009818
1346.552274,94.536865,94.388859,84.530837,97.767705,92.975129,92.860313,94.4358,77.9147,92.965841,99.625686,88.225308,95.563802,92.470133,94.953677,92.807153,88.107173,91.567775,6.697667,55.358197,93.569626,94.706452,90.818819,95.962002,87.888108,94.004973
1346.793332,94.524176,94.319845,84.474982,97.742086,92.970169,92.931887,94.420059,78.513208,92.95136,99.627115,88.254289,95.527982,92.428386,94.9452,92.738841,88.262211,91.541668,6.696517,55.2986,93.562506,94.684688,90.812358,95.886909,87.844502,94.000533
1347.034391,94.511591,94.247866,84.417363,97.715481,92.965158,93.000734,94.404381,79.091513,92.937016,99.628529,88.278114,95.491205,92.385043,94.936728,92.668018,88.4138,91.514893,6.695424,55.238008,93.555687,94.663012,90.805957,95.80854,87.799783,93.996484
1347.275449,94.499095,94.172748,84.357902,97.687828,92.96008,93.066851,94.388775,79.648875,92.922788,99.629885,88.297003,95.453383,92.339983,94.928233,92.594524,88.561557,91.487393,6.694372,55.17646,93.549176,94.641481,90.799635,95.726732,87.753853,93.992808
1347.516508,94.486684,94.094311,84.296524,97.659064,92.954927,93.13025,94.373254,80.184759,92.90866,99.631147,88.311208,95.414425,92.293081,94.9197,92.5182,88.705149,91.459115,6.693343,55.114002,93.542976,94.620155,90.793414,95.64131,87.706619,93.989488
1347.757566,94.474359,94.012368,84.23315,97.629122,92.949698,93.19096,94.357832,80.698818,92.894624,99.63229,88.321006,95.374238,92.244211,94.911117,92.438883,88.844291,91.430001,6.692319,55.050681,93.537083,94.599096,90.787316,95.552084,87.657983,93.986506
1347.998624,94.462132,93.926726,84.167701,97.597936,92.944398,93.249019,94.342531,81.190889,92.880679,99.633298,88.326695,95.332724,92.193245,94.902483,92.356409,88.978747,91.399995,6.691281,54.986548,93.531493,94.578362,90.781366,95.458853,87.60785,93.983843
1348.239683,94.450022,93.837187,84.100097,97.565436,92.93904,93.30448,94.327373,81.660971,92.866831,99.634168,88.3286,95.289786,92.140051,94.893804,92.27061,89.108328,91.369039,6.690212,54.921657,93.526197,94.558013,90.77559,95.361404,87.556126,93.981479
1348.480741,94.438053,93.743544,84.030253,97.531553,92.933645,93.357403,94.312386,82.109211,92.853095,99.634904,88.327063,95.245325,92.084496,94.885096,92.181316,89.23289,91.337073,6.689093,54.856066,93.521181,94.538104,90.770013,95.259508,87.502718,93.979393
